original,varname,label_shorthand,column,type,highermeans
TT2_Please rate the quality of the CRITIQUE section's redlined edits.   [Clarity ],tt2_cri_cla,Clarity,AO,Likert,higher score
TT1_How much time (in hours and minutes) did you spend on the task in total?,tt1_sur_dra_tot,10-day task survey - time on task (drafting),AP,Likert,higher score
"TT1_Compared to your usual work pace, how would you rate the speed at which you completed the task?",tt1_sur_dra_spe,Self-rated speed of drafting,AQ,Float,
"TT1_Compared to your usual first-draft quality, how would rate the quality of what you drafted in the task?", tt1_sur_dra_qua,Self-rated drafting quality,AR,Likert,faster
TT1_How satisfied are you with the overall experience drafting the patent sections in this task?,tt1_sur_dra_sat,Self-rated satisfaction with drafting,AS,Likert,better
TT2_How much time (in hours and minutes) did you spend on the DRAFTING section?,tt2_sur_dra_tot,90-day task survey - time on task (drafting),AT,Likert,more satisfied
"TT2_Compared to your usual work pace, how would you rate the speed at which you completed the task?",tt2_sur_dra_spe,Self-rated speed of drafting,AU,Float,
"TT2_Compared to your usual first-draft quality, how would rate the quality of what you drafted?",tt2_sur_dra_qua,Self-rated drafting quality,AV,Likert,faster
TT2_How satisfied are you with the overall experience drafting the patent sections in the most recent benchmark task?,tt2_sur_dra_sat,Self-rated satisfaction with drafting,AW,Likert,better
TT2_How much time (in hours and minutes) did you spend on the CRITIQUE task?,tt2_sur_cri_tot,90-day task survey - time on task (redlining),AX,Likert,more satisfied
TT2_How easy or difficult overall did you find the CRITIQUE task?,tt2_sur_cri_sat1,90-day task survey - ease overall (redlining),AY,Float,
TT2_How challenging did you find it to understand the draft on the CRITIQUE task?,tt2_sur_cri_sat2,90-day task survey - ease of comprehension (redlining),AZ,Likert,easier
TT2_How challenging did you find it to identify mistakes in the draft on the CRITIQUE task?,tt2_sur_cri_sat3,90-day task survey - ease of finding errors (redlining),BA,Likert,easier
"MS1_Outside of InFlow, how would you describe your current use of generative AI tools (e.g., ChatGPT/ Gemini/ Claude, or specialized AI tools for lawyers, such as Harvey AI, Ironclad)",ms1_gai,Monthly survey (1st) - use of GenAI,BB,Likert,easier
"MS1_On average, approximately how many hours did you spend working on a non-provisional utility patent draft application of normal complexity this past month (from start to inventor submission)",ms1_thismonth_time,"Monthly survey (1st) - time spent on patent drafting, this month",BC,Likert,more frequent use
"MS1_Compared to last month, how has the average time you spent on each patent draft (from start to inventor submission) changed",ms1_compared_time,"Monthly survey (1st) - time trend on patent drafting, this month compared to last",BD,Int,
"MS1_Compared to last month, how would you rate the quality of patent drafts created (at inventor submission stage)",ms1_compared_quality,"Monthly survey (1st) - quality trend on patent drafting, this month compared to last",BE,Likert,time increased
"MS1_Compared to last month, how has the number of required partner review cycles before submitting a draft to the inventor changed (if at all)",ms1_compared_review,"Monthly survey (1st) - review intensity trend on patent drafting, this month compared to last",BF,Likert,quality increased
"MS1_Compared to last month, how would you rate the change in your patent drafting proficiency",ms1_compared_selfefficiency,"Monthly survey (1st) - own efficiency trend on patent drafting, this month compared to last",BG,Likert,more review cycles
"MS1_Overall, how has your job satisfaction changed over the past month",ms1_compared_satisfaction,"Monthly survey (1st) - satisfaction trend on patent drafting, this month compared to last",BH,Likert,higher proficiency
"MS1_In the past month, how many hours per week on average did you receive on-the-job training or mentorship from senior attorneys or partners",ms1_thismonth_training,"Monthly survey (1st) - time spent on training/mentoring, this month",BI,Likert,more satisfied
MS1_[OPTIONAL]: In what ways has the mentorship you receive (formal or informal) changed over the past month,ms1_qual,Monthly survey (1st) - qualitative responses,BJ,Int,
"MS2_Outside of InFlow, how would you describe your current use of generative AI tools (e.g., ChatGPT/ Gemini/ Claude, or specialized AI tools for lawyers, such as Harvey AI, Ironclad)",ms2_gai,Monthly survey (2nd) - use of GenAI,BK,,
"MS2_On average, approximately how many hours did you spend working on a non-provisional utility patent draft application of normal complexity this past month (from start to inventor submission)",ms2_thismonth_time,"Monthly survey (2nd) - time spent on patent drafting, this month",BL,Likert,more frequent use
"MS2_Compared to last month, how has the average time you spent on each patent draft (from start to inventor submission) changed",ms2_compared_time,"Monthly survey (2nd) - time trend on patent drafting, this month compared to last",BM,Int,
"MS2_Compared to last month, how would you rate the quality of patent drafts created (at inventor submission stage)",ms2_compared_quality,"Monthly survey (2nd) - quality trend on patent drafting, this month compared to last",BN,Likert,time increased
"MS2_Compared to last month, how has the number of required partner review cycles before submitting a draft to the inventor changed (if at all)",ms2_compared_review,"Monthly survey (2nd) - review intensity trend on patent drafting, this month compared to last",BO,Likert,quality increased
"MS2_Compared to last month, how would you rate the change in your patent drafting proficiency",ms2_compared_selfefficiency,"Monthly survey (2nd) - own efficiency trend on patent drafting, this month compared to last",BP,Likert,more review cycles
"MS2_Overall, how has your job satisfaction changed over the past month",ms2_compared_satisfaction,"Monthly survey (2nd) - satisfaction trend on patent drafting, this month compared to last",BQ,Likert,higher proficiency
"MS2_In the past month, how many hours per week on average did you receive on-the-job training or mentorship from senior attorneys or partners",ms2_thismonth_training,"Monthly survey (2nd) - time spent on training/mentoring, this month",BR,Likert,more satisfied
MS2_[OPTIONAL]: In what ways has the mentorship you receive (formal or informal) changed over the past month,ms2_qual,Monthly survey (2nd) - qualitative responses,BS,Int,
"MS3_Outside of InFlow, how would you describe your current use of generative AI tools (e.g., ChatGPT/ Gemini/ Claude, or specialized AI tools for lawyers, such as Harvey AI, Ironclad)",ms3_gai,Monthly survey (3rd) - use of GenAI,BT,,
"MS3_On average, approximately how many hours did you spend working on a non-provisional utility patent draft application of normal complexity this past month (from start to inventor submission)",ms3_thismonth_time,"Monthly survey (3rd) - time spent on patent drafting, this month",BU,Likert,more frequent use
"MS3_Compared to last month, how has the average time you spent on each patent draft (from start to inventor submission) changed",ms3_compared_time,"Monthly survey (3rd) - time trend on patent drafting, this month compared to last",BV,Int,
"MS3_Compared to last month, how would you rate the quality of patent drafts created (at inventor submission stage)",ms3_compared_quality,"Monthly survey (3rd) - quality trend on patent drafting, this month compared to last",BW,Likert,time increased
"MS3_Compared to last month, how has the number of required partner review cycles before submitting a draft to the inventor changed (if at all)",ms3_compared_review,"Monthly survey (3rd) - review intensity trend on patent drafting, this month compared to last",BX,Likert,quality increased
"MS3_Compared to last month, how would you rate the change in your patent drafting proficiency",ms3_compared_selfefficiency,"Monthly survey (3rd) - own efficiency trend on patent drafting, this month compared to last",BY,Likert,more review cycles
"MS3_Overall, how has your job satisfaction changed over the past month",ms3_compared_satisfaction,Change in job satisfaction over past month (3rd month),BZ,Likert,higher proficiency
"MS3_In the past month, how many hours per week on average did you receive on-the-job training or mentorship from senior attorneys or partners",ms3_thismonth_training,"Monthly survey (3rd) - time spent on training/mentoring, this month",CA,Likert,more satisfied
MS3_[OPTIONAL]: In what ways has the mentorship you receive (formal or informal) changed over the past month,ms3_qual,Monthly survey (3rd) - qualitative responses,CB,Int,
Consent form,consent,Consent form completion,CC,,
Response time (onboarding stage),responsetime,Time (days) for response after onboarding email,CD,Dum,
Gender (imputed),gender,Gender (imputed),CE,Float,
"On a scale of 1-5, how well did you understand the presentation?",comprehension,Understanding of study (Likert),CF,Dum,
"On a scale of 1-5, how confident do you feel in your ability to perform each of the follow-up tasks called for in the study?",confidence,Confidence in ability to complete tasks (Likert),CG,Likert,greater understanding
"TT1_Find the length of time it took them to complete the DRAFTING portion of the exercise and convert it into a total number of minutes (e.g. ""Two hours and 3 minutes"" -> 123)",tt1_dra_tot,10-day task drafting exercise - time on task,CH,Likert,greater confidence
"TT1_Find the length of time it took them to complete the CRITIQUE portion of the exercise and convert it into a total number of minutes (e.g. ""Two hours and 3 minutes"" -> 123)",tt1_cri_tot,10-day task redlining exercise - time on task,CI,Float,
"TT2_Find the length of time it took them to complete the DRAFTING portion of the exercise and convert it into a total number of minutes (e.g. ""Two hours and 3 minutes"" -> 123)",tt2_dra_tot,90-day task drafting exercise - time on task,CJ,Float,
"TT2_Find the length of time it took them to complete the CRITIQUE portion of the exercise and convert it into a total number of minutes (e.g. ""Two hours and 3 minutes"" -> 123)",tt2_cri_tot,90-day task redlining exercise - time on task,CK,Float,
Operational_Stage delay: TT1 submission (days after onboarding email),ops_tt1_sub,10-day task submission - days after onboarding,CL,Float,
Operational_Stage delay: TT1 survey completion,ops_tt1_sur,10-day task survey completion - days after onboarding,CM,Int,
Operational_Stage delay: TT2 submission (days after onboarding email),ops_tt2_sub,90-day task submission - days after onboarding,CN,Int,
Operational_Stage delay: TT2 survey completion,ops_tt2_sur,90-day task survey completion - days after onboarding,CO,Int,
Operational_Number of monthly surveys,ops_ms_num,Number of monthly surveys completed,CP,Int,
Patents_I mostly draft patent applications,pat_rol_dra,Role: Mostly drafts,CQ,Int,
Patents_I mostly review patent applications,pat_rol_rev,Role: Mostly reviews,CR,Dum,
Patents_Plays other role in patent drafting/reviewing,pat_rol_oth,Role: Other (neither drafting nor reviewing),CS,Dum,
Patents_Number of patents worked on during past three months,pat_num,Patents worked on during study period (Number),CT,Dum,
Patents_How well put together were the invention materials before drafting began?,pat_avg_mat,Quality of material preparation from inventer,CU,Int,
Patents_How clearly was the invention described by the inventor?,pat_avg_des,Quality of invention description,CV,Likert,greater extent
Patents_How easy or difficult was it to understand the nature of the invention? (5=easiest),pat_avg_inv,Ease in understanding the invention,CW,Likert,greater quality
Patents_To what extent were (or are) you responsible for the drafting of this patent? (5=highest),pat_avg_res,Level of responsibility for drafting of patents worked on,CX,Likert,easier
Patents_How long (# of weeks) did it take to complete the draft application?,pat_avg_len,Length of time to completion for patents (Weeks),CY,Likert,more responsible
Patents_To what extent was (or is) there input from reviewers? (5=highest),pat_avg_rev,Extent of reviewer input on patent applications,CZ,Int,
"Patents_How extensive were (or are) the corrections, edits or comments received from reviewers on the draft? (5=highest)",pat_avg_cor,"Extent of edits, corrections or comments from reviewers on drafts",DA,Likert,greater input
"TT1_Average time on task (survey and form measures), drafting TT1",tt1_sum_dra_tot,10-day drafting; time on task (Minutes),DB,Likert,greater extent
"TT2_Average time on task (survey and form measures), drafting TT2",tt2_sum_dra_tot,90-day drafting; time on task (Minutes),DC,Float,
"TT2_Average time on task (survey and form measures), critique TT2",tt2_sum_cri_tot,90-day redlining; time on task (Minutes),DD,Float,
TT1_Average drafting enforceability,tt1_sum_dra_enf,Enforceability,DE,Float,
TT1_Average drafting technical accuracy,tt1_sum_dra_tec,Technical Accuracy,DF,Likert,higher score
TT1_Average drafting strategic ambiguity,tt1_sum_dra_str,Strategic Ambiguity,DG,Likert,higher score
TT1_Average drafting completeness and alignment,tt1_sum_dra_com,Completeness and Alignment,DH,Likert,higher score
TT1_Average drafting clarity,tt1_sum_dra_cla,Clarity,DI,Likert,higher score
TT2_Average drafting enforceability,tt2_sum_dra_enf,Enforceability,DJ,Likert,higher score
TT2_Average drafting technical accuracy,tt2_sum_dra_tec,Technical Accuracy,DK,Likert,higher score
TT2_Average drafting strategic ambiguity,tt2_sum_dra_str,Strategic Ambiguity,DL,Likert,higher score
TT2_Average drafting completeness and alignment,tt2_sum_dra_com,Completeness and Alignment,DM,Likert,higher score
TT2_Average drafting clarity,tt2_sum_dra_cla,Clarity,DN,Likert,higher score
PS_Which tasks do you remember completing?,ps_recallq,,DO,Likert,higher score
PS_Which tasks did you use InFlow (or another AI assistant) on?,ps_aiusedq,,DP,,
PS_Recall score,ps_recall,Share of tasks remembers completing (of all completed),DQ,,
PS_Admits using AI for critique task,ps_aiused,Marked used AI to complete redlining task,DR,Float,
MS1_date,ms1_date,Date of first monthly survey submission,DS,Dummy,
MS2_date,ms2_date,Date of second monthly survey submission,DT,,
MS3_date,ms3_date,Date of third monthly survey submission,DU,,
TT1_Productivity (score/minutes) for drafting task,tt1_pro_drades,"10-day task drafting productivity score (quality/min), raw",DV,,
TT2_Productivity (score/minutes) for drafting task,tt2_pro_drades,"90-day task drafting productivity score (quality/min), raw",DW,Float,
TT2_Productivity (score/minutes) for critique task,tt2_pro_critique,"90-day task redlining productivity score (quality/min), raw",DX,Float,
TT1_Productivity (score/minutes) for drafting task (rank),tt1_pro_drades_rank,"10-day task drafting productivity score (quality/min), reverse rank",DY,Float,
TT2_Productivity (score/minutes) for drafting task (rank),tt2_pro_drades_rank,"90-day task drafting productivity score (quality/min), reverse rank",DZ,Int,higher rank
TT2_Productivity (score/minutes) for critique task (rank),tt2_pro_critique_rank,"90-day task redlining productivity score (quality/min), reverse rank",EA,Int,higher rank
TT1_Productivity (score/minutes) for drafting task (percentile),tt1_pro_drades_percentile,"10-day task drafting productivity score (quality/min), percentile",EB,Int,higher rank
TT2_Productivity (score/minutes) for drafting task (percentile),tt2_pro_drades_percentile,"90-day task drafting productivity score (quality/min), percentile",EC,,
TT2_Productivity (score/minutes) for critique task (percentile),tt2_pro_critique_percentile,"90-day task redlining productivity score (quality/min), percentile",ED,,
redline_suspected,redline_suspected,LLM suspects usage of AI,EE,,
redline_admitted,redline_admitted,Admitted usage of AI on post-study survey,EF,,
"R_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Enforceability]",tt_rat_dra_enf,"Rater: enforceability, drafting",,,
"R_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Technical Accuracy]",tt_rat_dra_tec,"Rater: technical accuracy, drafting",,Likert,higher score
"R_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Strategic Ambiguity]",tt_rat_dra_str,"Rater: strategic ambiguity, drafting",,Likert,higher score
"R_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Completeness and Alignment with Objectives]",tt_rat_dra_com,"Rater: completeness/alignment, drafting",,Likert,higher score
"R_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Clarity ]",tt_rat_dra_cla,"Rater: clarity, drafting",,Likert,higher score
"R_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Enforceability]",tt_rat_des_enf,"Rater: enforceability, description",,Likert,higher score
"R_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Technical Accuracy]",tt_rat_des_tec,"Rater: technical accuracy, description",,Likert,higher score
"R_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Strategic Ambiguity]",tt_rat_des_str,"Rater: strategic ambiguity, description",,Likert,higher score
"R_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Completeness and Alignment with Objectives]",tt_rat_des_com,"Rater: completeness/alignment, description",,Likert,higher score
"R_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Clarity ]",tt_rat_des_cla,"Rater: clarity, description",,Likert,higher score
R_Please rate the quality of the CRITIQUE section's redlined edits.   [Enforceability],tt_rat_cri_enf,"Rater: enforceability, redlining",,Likert,higher score
R_Please rate the quality of the CRITIQUE section's redlined edits.   [Technical Accuracy],tt_rat_cri_tec,"Rater: technical accuracy, redlining",,Likert,higher score
R_Please rate the quality of the CRITIQUE section's redlined edits.   [Strategic Ambiguity],tt_rat_cri_str,"Rater: strategic ambiguity, redlining",,Likert,higher score
R_Please rate the quality of the CRITIQUE section's redlined edits.   [Completeness and Alignment with Objectives],tt_rat_cri_com,"Rater: completeness/alignment, redlining",,Likert,higher score
R_Please rate the quality of the CRITIQUE section's redlined edits.   [Clarity ],tt_rat_cri_cla,"Rater: clarity, redlining",,Likert,higher score
Equal,equal,"TRUE if all rater values are the same, FALSE otherwise",,Likert,higher score
"R1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Enforceability]",tt1_rat_dra_enf,Enforceability,,,
"R1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Technical Accuracy]",tt1_rat_dra_tec,Technical Accuracy,,Likert,higher score
"R1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Strategic Ambiguity]",tt1_rat_dra_str,Strategic Ambiguity,,Likert,higher score
"R1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Completeness and Alignment with Objectives]",tt1_rat_dra_com,Completeness and Alignment,,Likert,higher score
"R1_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Clarity ]",tt1_rat_dra_cla,Clarity,,Likert,higher score
"R1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Enforceability]",tt1_rat_des_enf,Enforceability,,Likert,higher score
"R1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Technical Accuracy]",tt1_rat_des_tec,Technical Accuracy,,Likert,higher score
"R1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Strategic Ambiguity]",tt1_rat_des_str,Strategic Ambiguity,,Likert,higher score
"R1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Completeness and Alignment with Objectives]",tt1_rat_des_com,Completeness and Alignment,,Likert,higher score
"R1_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Clarity ]",tt1_rat_des_cla,Clarity,,Likert,higher score
R1_Please rate the quality of the CRITIQUE section's redlined edits.   [Enforceability],tt1_rat_cri_enf,Enforceability,,Likert,higher score
R1_Please rate the quality of the CRITIQUE section's redlined edits.   [Technical Accuracy],tt1_rat_cri_tec,Technical Accuracy,,Likert,higher score
R1_Please rate the quality of the CRITIQUE section's redlined edits.   [Strategic Ambiguity],tt1_rat_cri_str,Strategic Ambiguity,,Likert,higher score
R1_Please rate the quality of the CRITIQUE section's redlined edits.   [Completeness and Alignment with Objectives],tt1_rat_cri_com,Completeness and Alignment,,Likert,higher score
R1_Please rate the quality of the CRITIQUE section's redlined edits.   [Clarity ],tt1_rat_cri_cla,Clarity,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Enforceability]",tt2_rat_dra_enf,Enforceability,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Technical Accuracy]",tt2_rat_dra_tec,Technical Accuracy,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Strategic Ambiguity]",tt2_rat_dra_str,Strategic Ambiguity,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Completeness and Alignment with Objectives]",tt2_rat_dra_com,Completeness and Alignment,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DEPENDENT CLAIMS section.  [Clarity ]",tt2_rat_dra_cla,Clarity,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Enforceability]",tt2_rat_des_enf,Enforceability,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Technical Accuracy]",tt2_rat_des_tec,Technical Accuracy,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Strategic Ambiguity]",tt2_rat_des_str,Strategic Ambiguity,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Completeness and Alignment with Objectives]",tt2_rat_des_com,Completeness and Alignment,,Likert,higher score
"R2_In the DRAFTING exercise, please rate the quality of the DETAILED DESCRIPTION section.  [Clarity ]",tt2_rat_des_cla,Clarity,,Likert,higher score
R2_Please rate the quality of the CRITIQUE section's redlined edits.   [Enforceability],tt2_rat_cri_enf,Enforceability,,Likert,higher score
R2_Please rate the quality of the CRITIQUE section's redlined edits.   [Technical Accuracy],tt2_rat_cri_tec,Technical Accuracy,,Likert,higher score
R2_Please rate the quality of the CRITIQUE section's redlined edits.   [Strategic Ambiguity],tt2_rat_cri_str,Strategic Ambiguity,,Likert,higher score
R2_Please rate the quality of the CRITIQUE section's redlined edits.   [Completeness and Alignment with Objectives],tt2_rat_cri_com,Completeness and Alignment,,Likert,higher score
R2_Please rate the quality of the CRITIQUE section's redlined edits.   [Clarity ],tt2_rat_cri_cla,Clarity,,Likert,higher score
"R1_Summary score, drafting and description",tt1_sum_rat_drades,10-day drafting task (rater summary),,Likert,higher score
"R2_Summary score, drafting and description",tt2_sum_rat_drades,90-day drafting task (rater summary),,Likert,higher score
"R2_Summary score, critique",tt2_sum_rat_cri,90-day redlining task (rater summary),,Likert,higher score
,,,,Likert,higher score
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
