conv:people_2019072903_3:aug_0:chat_0| jack ronald| [jack m 0-0][ronald m 1-1]
anthony| I believe you do I m hanging with Jason Gary and William| [anthony m 0-0][chris m 2-2][anthony m 4-4][jason m 8-8][gary m 9-9][william m 11-11]
chris| Okay That sounds cool Just let me know when and where and I will be there Thanks for the invite| [chris m 6-6][chris m 12-12]
anthony| You got it man I ll be in touch| [chris m 0-0][anthony m 4-4]

conv:people_2019072903_44:aug_0:chat_0| samantha chris| [chris m 0-0][samantha f 1-1]
samantha| Hello Chris i was thinking we should take our neighbors to lunch| [samantha f 1-1][samantha f 2-2][samantha f 5-5][samantha f 8-8][samantha f 9-9]
chris| I think we should ask the Robinsons if they know what the Martins like to eat| [chris m 0-0][chris m 2-2][chris m 6-6][chris m 8-8][chris m 12-12]
samantha| That s a great ideal We should probably bring something with us| [samantha f 5-5][samantha f 11-11]
chris| I think that would be the neighborly thing to do| [chris m 0-0]
samantha| I can t decide on what would be appropriate Hopefully the Robinson will give us an ideal of what they like| [samantha f 0-0][samantha f 11-11][samantha f 14-14][samantha f 19-19]
chris| Me either but I m glad we re getting to know the neighbors| [chris m 0-0][chris m 3-3][chris m 6-6][chris m 12-12]
chris| I think I| [chris m 0-0][chris m 2-2]
samantha| Mr too i m so excited that we moved here and i really like the neighborhood and the neighbors| [samantha f 2-2][samantha f 7-7][samantha f 11-11][samantha f 18-18]

conv:people_2019072903_65:aug_0:chat_0| debra angela| [angela f 0-0][debra f 1-1]
debra| Hey what do you think the Murphys and Smiths would like when we go to visit them| [angela f 3-3][murphys g() 6-6][smiths g() 8-8][we g(debra:angela) 12-12][them g() 16-16]
angela| I was thinking about giving some nice wine to both groups| [angela f 0-0][both g() 9-9]
debra| That s a great idea you can t go wrong with wine| [angela f 5-5]
angela| I know that the Smiths love chocolate so I may get that for them in addition to the wine| [angela f 0-0][smiths g() 4-4][angela f 8-8][smiths g() 13-13]
debra| That sounds good Maybe once we get to Charlotte we can find a local store with good wine and chocolates| [we g(debra:angela) 5-5][we g(debra:angela) 9-9]
angela| Do you know if the Murphys like chocolate as well| [debra f 1-1][murphys g() 5-5]
debra| I am not too sure but who doesn t like chocolate| [debra f 0-0]
angela| That is true How about I get the wine and chocolate for the Smiths You can buy the wine and chocolate for the Murphys| [angela f 5-5][smiths g() 13-13][debra f 14-14][murphys g() 23-23]
debra| That sounds perfect I look forward to spending time with everyone| [debra f 3-3][we g(debra:angela) 10-10]

conv:people_2019072903_67:aug_0:chat_0| melissa amanda| [amanda f 0-0][melissa f 1-1]
melissa| Hi| 
melissa| Should we ask Frank Catherine and Edward to go with us to Six Flags| [we g(melissa:amanda) 1-1][frank m 3-3][catherine f 4-4][edward m 6-6][we g(melissa:amanda) 10-10]
amanda| Yes I think they d appreciate that| [amanda f 1-1][they g(frank:catherine:edward) 3-3]
melissa| I m free this weekend are you| [melissa f 0-0][amanda f 6-6]
amanda| I am| [amanda f 0-0]
melissa| Great I will call them later today and see if their schedule is good to go too| [melissa f 1-1][they g(frank:catherine:edward) 4-4][they g(frank:catherine:edward) 10-10]
amanda| Sounds great I hope they can make it| [amanda f 2-2][they g(frank:catherine:edward) 4-4]
melissa| Me too they are a lot of fun| [melissa f 0-0][they g(frank:catherine:edward) 2-2]
amanda| Yes and it s been a while since we ve seen them| [we g(melissa:amanda) 8-8][they g(frank:catherine:edward) 11-11]
melissa| We will plan for this weekend and I will let you know later if the others can com Talk to you later| [we g(melissa:amanda) 0-0][melissa f 7-7][amanda f 10-10][they g(frank:catherine:edward) 15-15][amanda f 20-20]

